title,comment,user,reviewdate,rating,type,upvotes
"Average content, not worth a Price","Quality of the content is average, but there are lot of better open source materials out there.",Gaur v,2020-07-11,1.0,Unverified,One
Amazing Book,"Excellent book. If you have a basic understanding of theoretical concepts of ml and want to improve your practical knowledge , this is the perfect choice for you. Very nicely written code with indents!!!.",Pradeep,2020-07-11,4.0,Verified,One
Exceeds expectations!!,Really recommend this book.,Shivam R.,2020-07-11,5.0,Verified,0
Not compatible with my Kindle Paperwhite,The book is not compatible with a kindle paperwhite. I purchased the kindle edition on 8th July. Edit: Had doubts about the compatibility and got them cleared from the author himself. Don't want this review to hurt the author's reputation. I haven't read the book yet but I am sure it will be a brilliant read.,Pawan Dwivedi,2020-07-11,5.0,Verified,10
Loved this book,"It a very well written book. Every chapter is like a blog; simple to read, really good glow and not a lot of theory. Its a must by for anyone aspiring to become a data scientist.",Ankur singh,2020-07-10,5.0,Unverified,One
Amazing Book!!!,"This book is really good. If you want to dive more into practical implementation of the machine learning techniques, then this book is definitely for you.",Amazon Customer,2020-07-10,5.0,Unverified,0
Sourabh,Not read full till now but can say one of the best book well equipped with coded examples. Good for someone who likes code approach.,Sachin Choudhary,2020-07-10,5.0,Unverified,One
Useful book with good approach,"I found this useful for learning ML by going several chapters. Just one concern, why it is not compatible with Kindle Paperwhite? Hopefully that can be fixed soon for a better experience.",Jayant,2020-07-10,4.0,Unverified,One
Amazingly practical oriented Book,I started reading into this book as proceeded I got converted into working book and ended equipped with new tricks and tips on AI and NLP. Thanks for such lovely book on Data Science field. Highly recommended for practitioners.,Veeresh Shringari,2020-07-10,5.0,Verified,One
Data Scientist with over 5 years of experience,This book is for people who have some basic knowledge of machine learning and Deep learning. This is more oriented towards how and what should you use to solve machine learning problem.,Amazon Customer,2020-07-09,5.0,Unverified,One
Must have reference book for ML practitioners,It's is a good reference book for ML practitioners. It is a 300 page cheetsheet for applied ML. Covers almost everything that is required for an end-to-end machine learning pipeline.,Jason,2020-07-09,5.0,Verified,One
Outstanding Book,"Hi, I am a Data Analyst and I really loved the information and illustrations in this book. The details and information is very well organized and presented. The chapters are well planned out and easy to understand. I feel this is a fantastic book for Machine Learning and those seeking to learn or increase their knowledge in this area will be pleased with this book.",Santosh Roy,2020-07-09,5.0,Unverified,One
Ipython code blocks is game changing,"This book is unlike any ML-based book I have read before. It easily catches your attention, and ipython-style code blocks add a whole new aspect to this domain. I think more ML books should adapt this pattern when explaining complex algorithms and techniques since implementation becomes an integral part of any method.",Ujwal,2020-07-09,5.0,Verified,One
Amazing book by Amazing person,Thanks a lot for writing this book....indeed a very helpful book. Abhishek you are really a wonderful person. Thanks for providing book at such cheap rate,SHARIQ,2020-07-08,5.0,Verified,One
Best Applied Machine Learning Book ever read,Just started reading the book and really the way each and everything is explained by Abhishek is awesome. This book is must read by all Data Scientists and ML Engineer who are working on industries.,Jay Mangi,2020-07-08,5.0,Verified,One
Very insightful approach.,Good read for people who want to familiarise themselves with approaching Machine Learning problems.,Priya,2020-07-08,5.0,Unverified,2
Amazing book for ML learner,This Book is useful for those people who know only what is machine learning . But they do not have any idea how to create ML model. These books help to develop your own model with good theory.I really appreciate author's dedication to write difficult concepts in simple manner.,Akshay Dhyani,2020-07-08,5.0,Verified,One
Very basic explanation,"Its contains very basic explanation with some code. We can get these from many blogs and kaggle kernels. It won t contain all ranges of ml problems. A basic classification, regression, segmentation problems only and not discussed about problem formulations from business. Without that, how will we handle any ml problem.",uday bhaskar,2020-07-08,1.0,Unverified,5
Loved it!,"Loved the book so far. Having codes in the book makes it practical and unlike just theory, this gives us a chance to interact with the book. Excellent support by the author on YouTube as well. (This is my own review and is not sponsored in any way).",Subhaditya,2020-07-08,5.0,Verified,One
Good one!,Very informative book with a whole new approach,Sangita,2020-07-08,5.0,Verified,2
Good books to have hands on practice and learn machine learning,"After reading couple of chapters and have a look at the rest I feel that if someone wants to know how you can solve a machine learning problem with topics like feature selection, feature engineering, hyperparameter optimization it's always better to code it and learn and see what's happening, and that's exactly what the author did. You will also get an idea about NLP models like BERT and how you can use docker, flask for deploying your ML model. What I miss in this book is, if it has a couple of chapters to show how to solve a particular problem statement/dataset by combining the topics he covered in the book, and from creating a baseline model to a pretty complex one just to show the end-to-end approach he usually takes to solve a machine learning problem. Just to ideate his thoughts and strategy he usually follows to solve when he gets an ML problem.",Alok Kumar Padhi,2020-07-07,4.0,Verified,5
"Nicely written, crisp and full of practical tips","The book takes a different approach compared to traditional machine learning books, which makes it interesting from practical point of view. If you are looking for heavy theory or in depth math backgrounds for ML topics, then this book is not meant for you. It's appropriate for people who already have good theoretical understanding of the domain, but who lacks practical tips or best practices for Implementation - this book is for them. Thanks Abhishek for all your effort.",Amazon Customer,2020-07-07,5.0,Unverified,One
Must read this book.,This book is easy to read and understand. Information is very insightful. Totally worth it. ,Akash Bisht,2020-07-07,5.0,Unverified,0
A book worth reading for every ML Practitioner,I'm halfway through the book. It has already helped me so much in recognising and filling the gaps in my understanding of practical ML. Many of ideas are so brilliant that it gave me a new perspective and I'm wondering it would have been so much fun I have used these things when I was solving a similar bussiness problem. Thanks a lot Abhishek for your efforts.,Aadil S.,2020-07-07,5.0,Unverified,0
An enlightening book..!!,This book is really helpful and definetely read worthy. Content is well structured and logically thought out,Rajesh Upadhyay,2020-07-07,5.0,Unverified,2
The most hands on piece of ML literature,"I just ordered the paperback version of the book, have an old kindle device which this book doesn't support. Writing this review before reading the whole book (have read the sample from kindle). I have used some of the work that Abhishek has shared in his youtube channel and his github repository, in my projects. If you are a practitioner I think you will get lots of good advice and really nicely written code you can blindly take to do your POCs. Will update my review after I go through the whole book, but I have a sense that this would be a good investment given Abhishek's track record of sharing very high quality work.",Gunnvant,2020-07-07,5.0,Unverified,3
Game changing book,"No questions, just go for it, It's a game changing book on ml Thanks Abhishek Thakur for giving such a wonderful book to us Looking forward to see more books from you on deep learning and open cv too",kallam,2020-07-06,5.0,Unverified,One
...,Awesome book on machine learning,Ayushi Tyagi,2020-07-06,5.0,Unverified,One
Wonderfully written for anyone who is working in Data science,Excellent book.,Ebin Deni Raj,2020-07-06,5.0,Verified,2
Absolutely amazing,Really great efforts to create this content... Remarkable content ,sandesh vora,2020-07-06,5.0,Unverified,2
Believe me this book is just awesome,"I love this book, abhishek the author just thought like Elon musk. This book gives an innovative way to approach understand explore love the way of learning, Wow amazing thank you for your great hard work sir. I love it",Amazon Customer,2020-07-05,5.0,Unverified,2
A really remarkable effort,This is an hands on book and not a theory book as already mentioned by author.The points that make this book different 1. Using comprehensive code with good explanation and all necessary comments 2. Not using standard dataset like iris cars etc and utilising bigger Datasets from kaggle 3. Touching almost everything that you encounter while building a model. Also adding on touching distributing your model using flask and docker 4. Covers NLP too including transformers which many of starting ML books choose to ignore. For me it is a good reference guide if you want to brush up again and again.,Nishant Bhadauria,2020-07-05,5.0,Verified,5
It's Worth Every Penny and that too in such a cheap price :D,"First of all, i bought the Kindle version and in what price it is being shared to the community is damn unbelievable. A note to future customers who will really appreciate the beauty of this Book, get your basics right and then jump on to this Book because it gives you an idea on how to approach the problems and how to code which is the most important thing for Data Scientist, traditionally we google and copy paste, but in this book you'll get on with the coding part, understand what exactly you're doing and implement the stuff. Well i can go on and on but you'll seriously appreciate it and get the knowledge that this book shares only by experiencing it. So go on and buy it already man !! :D ( PS : Abhishek Thakur, you rock )",shawn,2020-07-05,5.0,Verified,One
Best book and I really loved it.,This book is a must to have for anyone who has basic understanding of machine learning and deep learning concepts and struggling with applying them to real world data set. Every concept in this book is explained with an example data set and proper working code in a very lucid way. I loved the way author has approached to explain complex concepts in simple language. Anyone who is doing some online course on ML can also follow along this book in parallel for better understanding.,MAYANK SHARMA,2020-07-05,5.0,Verified,2
Too good,"One of the best ,I have read on data science till now ,well explained .seems like reading some story book.so addictive ,well narrated.clean and neat example of quality code .must buy",Amazon Customer,2020-07-05,5.0,Unverified,2
Messed up!,Author claims to be moving away from traditional book writing style and adding more code snippets with description like a notebook to help readers learn practically. But has actually messed up between both worlds and the result is a poor book with lack of vision.,Karthik,2020-07-05,1.0,Unverified,7
It's a gem,It's a gem and a rare one. So many things to like about the book. I read till cross validation and liked the way author described the stratified cross validation even for regression problem. This kind of useful things you can get out the book :) you won't regret it after buying!!,Aritra Sen,2020-07-05,5.0,Verified,One
Amazing book for Practical Machine learning and really worth it!,I just buyed this book and i went threw few concepts like evaluation metrics and I really got a better understanding on when and where to apply these techniques both theoritical and with better quality code. Much more to go! I'm really grateful for finding such an amazing book. I would definetly recommend buying this book for ppl who need indepth understanding of concepts with practical examples. Never stop learning !,sai chaithanya,2020-07-05,5.0,Verified,2
Splendid,"Simply brilliant, a must read for all data science aspirants.",sid,2020-07-05,5.0,Verified,2
"Great book, absolutely loving it","Bought this book yesterday. Already few pages into the book. Absolutely loving it so far. It's different than other books in the sense that it will be very helpful for budding machine learning enginners. This book helps you create a strong base of most the algorithms and shows how to code them on python. It doesn't have complicated equations of the algorithms, not that you don't need to know them, this book will create a great base for you to understand those complex equations and will clear your concepts on these algorithms. It also helps in understanding the implementation of different algorithms.",Arindam Bose,2020-07-05,5.0,Verified,3
A real Practitioner Book,A nice reference book for People who are solving real-time problems,ranjan,2020-07-05,5.0,Verified,One
This book Stands up to my expectations.,Awesome book. The book delivers what it says. There is a lot of code to practise. eagerly waiting for other editions from this talented author.,PULAK PANJA,2020-07-05,5.0,Verified,3
One of the Best Applied ML Book ever written,"I have been following Abhishek Thakur from a long time and this was one of the most awaited books, Here is an honest review of the book :- Its one of the best book ever written for applied ML, the long structured code for solving any problem, hardly ever you see such things in books, all theory and no code makes jack a dull boy. Abhishek has tried to put all his wisdom and experience into this book through his code and examples. On top of everything, he also is hosting a video to solve the doubts related to the book. If you are a fan of fastai and Jeremy Howard and want to learn ML in the top down approach, this book is worth your money. Ps :- Don't go for the hateful one star reviewers, if you see clearly the one star reviewers are writing the same thing and the review is coming from same name, they are just spamming and spreading hatred, and that's pathetic, reviews are given to express your sentiments not to spread hate",Astha Gupta,2020-07-04,5.0,Unverified,3
A good introduction to ML approach s but not advanced enough,This book can be a good reference material if you are starting to become a serious ML practitioner. But the book shies away from getting too deep into more hands on problems faced in ML projects. Or maybe I expect too much from the author.,Samrat Sah,2020-07-04,3.0,Verified,11
Very Helpful book,"Loved the book. I can tell my early review about it which I have got after running through the book by taking a glance at the chapters. The way in which concepts have been explained in a very simple way is amazing and will help people at all levels. It takes you right from setting up your ml system to building a classifier using BERT. Abhishek delivers what he promised in the sense that it s not the book that which teach you the theory, but it will help you get that theoretical knowledge in action.",Gyan,2020-07-04,5.0,Verified,One
Code your heart out !!,An awesome book that gives beautiful insights to all the theory that is available !! To be good with data one needs a good understanding of the code and how it works. This is just the book for it. Awesome compilation !!,sayantan basu,2020-07-04,5.0,Verified,2
I am Vivek Chaudhary & working in Data Science Domain since 3 years & connected author on Linkedin,"Great job sir,love the work you did,keep up the good work",Naresh,2020-07-04,5.0,Verified,2
Soooooo much hype,He could made GitHub repo of all such nothing in this only codes no deep explanation why this method he is choosing,Ashish Singh,2020-07-04,1.0,Unverified,9
good book from an expert in practical ML,Thanks for condensing your Kaggle expertise and sharing with us in this book Suresh Chinta,Suresh Chinta,2020-07-04,5.0,Unverified,2
"Great material - If you are looking for ""Applied"" ML","Great material - If you are looking for ""Applied"" ML. It can serve as an ice-breaker, if you're stuck at the door of implementation of these ML algos but can not take a step forward. Go for it and implement everything",Akarsh,2020-07-04,5.0,Unverified,2
A must have !,"This book is straight to the point, no fluff. Every single line in the book is practical. Definitely not your average machine learning book, and I mean that in a good way. Keep up the great work Abhishek. Thanks for putting so much effort into this book. One can sense the hours and thought put into the book.",Amazon Customer,2020-07-04,5.0,Verified,One
Must book if you want to understand Machine Learning in depth,I will definitely recommend this book to the people who wants to have deep understanding of Machine Learning.,S.Kundu,2020-07-04,5.0,Verified,3
Worth every penny! Extremely useful,Probably the best book for people trying to learn machine learning. The content is easy to follow and gives a good approach to ml problems and their implementation.,shrikant gour,2020-07-04,5.0,Unverified,3
Amazing book!!,Just read few chapters it's really worth buying this book!,Manish jha,2020-07-04,5.0,Unverified,2
...,"""if you didn't code, you didn't learn"" Really nice and amazing",dev,2020-07-04,5.0,Unverified,2
Lucid.,The language is simple. Must buy for all ML enthusiasts.,Anont,2020-07-04,5.0,Unverified,One
A must buy for all Data Scientist/ML Enthusiasts,"I am a Data Scientist/ AI Engineer working for the last 3 years in the industry. This is my honest review - As the book name suggests this is the best book that you could get on practical machine learning and data science. The author has written the book with great dedication and the explanations at each section is amazing. I really liked the flow of the book, from basic concepts to covering images and text problems, advanced concepts like Entity embeddings and what not! The codes are written perfectly and in such a way that it develops a great habit of writing good quality code for any data scientist or enthusiast. The author has made sure that the code is reusable and can be taken into production. P.S. - Don t think too much, just go ahead and buy it!!! It s Amazing!",Risab Biswas,2020-07-04,5.0,Verified,36
A very nice book with indepth code,Very nice book from one of the experts in the field. In depth code and explanations to apply the concepts in real world scenarios. A strongly recommended book for any one working in the ML/DL space,Amazon Customer,2020-07-04,5.0,Verified,3
A gem ..highly recommended,Abhishek has put his vast and practical knowledge into this concise book...I have bought yesterday night at 12 am and hooked to it ..it has almost all important topics and I have already gone through first 2 chapters and reading cross validation now..kudos to the author for bringing such important knowledge in such reasonable cost...keep writing legend,Kindle Customer,2020-07-04,5.0,Verified,2
Not good,Not worthy,ashish k,2020-07-04,1.0,Unverified,7
Nice one,Read few chapters and already loving it,Deepak,2020-07-04,5.0,Unverified,2
An outstanding and new style book worth purchasing,"An oustanding book. What he claimed , it has been produced in the same fashion. It is a very very useful book for the machine learning aspirants and practicener both.Worth purchasing. Contents of the book are far beyond its cost.I recommend it will be worth purchasing . I assign five stars as very useful technics alogwith code etc have been provided so lucidly.The author seems to have taken a lot of efforts.",A N Thakur,2020-07-04,5.0,Verified,13
Not worth the hype,"It is just a collection of notes and codes that we keep in some random text file, just to resuse it in future. It doesn't give you in depth knowledge of whats and hows of things written in it. Or just maybe I expected something else from this and it turned out to be a simple book of codes. Anyways, it would have been easier just to create a github repo with proper readme files and all, instead of writing a whole book for it.",Kindle Customer,2020-07-04,1.0,Verified,115
Not worthy,I really dont find it worthy,Ak,2020-07-04,1.0,Unverified,7
Useless book,Study from mooc in coursera instead. Rip off,Mrinal,2021-09-14,1.0,Verified,0
Good book for understanding machine learning models,When I first got this book it seemed too simple and poorly written. I considered sending it back but didn't. As I continued to explore the book it touched on a lot of popular machine learning basics and features. It also does it in a way that a normal person can comprehend. Which means if you learn via this method you can also explain it to another person without a background in machine learning. I there is a lot more to learn in the ML and AI world but this book is a great place to start.,Jeremy R. Whittaker,2021-09-06,5.0,Verified,0
Awesome,"Many useful tips, i never figured out by my self, worth every cent",Israel,2021-09-04,5.0,Verified,0
Very nice work,Great topics and approach. Consider purchasing the PDF version as well to ease the code implementation.,Lu s Maia,2021-08-28,5.0,Verified,0
Well-thought out applied machine learning book,"This is a very solid machine learning book with a strong focus on implementing things in Python/sklearn/PyTorch and how to do things in practice. I bought the book on the strength of the author's Kaggle success (well-known Kaggle Grandmaster) and excellent YouTube videos. I was not disappointed and got what I expected. I debated endlessly with myself whether this is four or five stars, because I would have liked a bit more depth/rationale for approaches (of course, that's a trade-off vs. the book length - and yes, I realized the cover text did tell me, but also things like pro-and-con of some methods might have been expanded), I had hoped even more types of problems/recent ideas would be discussed (don't get me wrong, a wide range of critical topics is covered really well - we are more talking about whether EfficientNet should be discussed in addition to ResNet, or whether more should be said on alternative loss functions like focal-loss, or the latest improvements over U-Net etc.), I wondered whether some topics were glossed over a little/downsides of some things not really discussed, and some minor formalistic complaints (no index, book title on the page headers instead of chapter titles, personally I might have liked the table of contents to show things below the chapter). Perhaps the length of some bits vs. other bits felt a tiny bit uneven (I guess this is just not an academic text-book that got polished over and over - which also makes it an accessible and a very pleasant fun read). But enough on the minor quibbles, here's some things that I really liked: 1. Covering cross-validation really early on before starting with any supervised models: Definitely the right choice, excellent decision! In industry, too many people are sloppy with their model evaluation, emphasizing it this much is something people should be exposed to in more books. In fact, overall there's some pretty good didactic choices in how the material is arranged. 2. I had not been sure about the approach of putting so much code directly into the book, but it works (it helps that the code is very readable/well-explained). 3. Without trying to directly be a book primarily about PyTorch, it's actually a pretty good bare-bones starter pack for PyTorch (even if I prefer the more in-depth book by the fast.ai team). 4. I like the author's writing style. Don't expect formalistic statistics or computer science text book language (and most definitely don't expect theorem - although some papers are referred to, but mostly when the author feels it would be worth your time to read them, there is no attempt to provide a reference for every statement or give a reference to who invented what method when). To get a feel, watch some of the authors YouTube videos - to me the book is a more concise, more polished product with a little bit more explanation of methods/why we use them (as said, maybe a little less than I prefer, but that's taste). 4. Production value: The book is independently published, but with the exception of some of the complaints I mentioned above, I was very happy with design/layout/paper quality etc.",Gander,2021-08-19,4.0,Verified,0
"Excellent, concise book","This is an excellent, practical book on applying machine learning algorithms, and I'd recommend anybody looking to enter the field to pick it up. The author delves not only into algorithms and performance metrics, but also provides recommendations on the practicalities of maintaining a machine learning pipeline. A lot of it is fairly brief, and you'll want to go and explore some of the concepts that the author refers to in further details - but what is covered is very valuable, and the examples are top notch. There are a few awkward sentences that could perhaps do with a little copy editing, but that's my sole criticism, and doesn't detract from this being an easy five stars.",Phil,2021-08-08,5.0,Verified,0
"Tons of code, all over the place, not useful","Couldn t finish, chapters each started well, bu mostly ended in rambling.",Pirc_defense_expert,2021-08-06,2.0,Verified,0
Not worth it,"A good exercise for the writer to work on his ML skills, not a good one from the reader point of view since it may not match your level or need.",Charles Mingus,2021-07-29,1.0,Verified,0
Not advanced,I bought this because the description said advanced. It isn't advanced at all. My introductory machine learning books go into more detail than this. The author tends to gloss over things rather than explain them. I disagree that it is well written - the writing is subpar and disjointed compared to my other ML books. I bought based on other reviews but I am hugely disappointed. Wasn't worth the money.,Victoria Sherratt,2021-07-07,1.0,Verified,0
Disappointing for a grandmaster,"I excitedly bought this book expecting some insights from a Kaggle grandmaster. It turned out to be more oriented for beginners, and does not contain anything noteworthy that isn't present in other books. In fact this book is very poorly formatted, and contains long pages of code. In my opinion, the author is trying to sell his side project - the book does not feel professional.",Amazon Customer,2021-04-15,3.0,Verified,0
"Denso, mas importante","Livro denso, recheado de teorias e c digos. Boa base para os t cnicos da rea.",william,2021-03-26,5.0,Verified,0
A book for Machine learning engineers,"This book is your best shot if you're interested in engineering machine learning products, focusing more on the building and dipping your hands in code writing. It shows and explains several different ways of doing the same thing, and that gives you the opportunity of experimenting. To get the best out of the learning process, I would advise you use personal project data. That way, you run into project-specific issues and coming out of it would increase the value of using the book as a guide.",Akanmu Semiu,2021-03-24,5.0,Verified,0
it's a book,if you like this type of books...,Vasco,2021-03-16,4.0,Verified,0
excellent book to learn and master ML/DL problems in practice,"As it is stated in the description, the book does not deal with the theory behind the algorithms, but shows how to apply them to practical problems in great detail. You can learn how to set up end-to-end machine learning pipelines, as well as master state-of-the-art feature engineering, hyperparameter optimization, and ensembling. Written by one of the most well-known, and the first 4X Kaggle grandmaster, this book shows applications of machine learning/deep learning to a variety of problems. The book does not leave any room for ambiguity by showing end-to-end code for each of the problems. I highly recommend this book for both to learn and to master ML/DL problems in practice.",Erkut Aykutlug,2021-02-18,5.0,Verified,0
ML book for programmer,"for those who learn from reading source code and comments, it is the best ML book for you. it comes with 'workable' codes for real problem from kaggle and just enough comments before and after, and then you could (optional) fill the blank by google for the math behind. cann't wait for the AAA for image problems, language problems, and beyond ;)",jerry jiang,2021-02-14,5.0,Verified,0
Get the book if you are serious about ML,"Worth the money and time! Only the computer vision chapter felt a little bit rushed. Also, I wish there was a little bit more theory but I guess you can't have everything but almost everything. ",Yassine,2020-12-31,4.0,Verified,0
Excellent!,"This is a solid book. It s a bit opinionated, but he does give good reasons. I m still not wholly convinced about separating the feature engineering from modeling. This is why sklearn pipelines were created, so there s no chance of bias especially when you do k-fold cross validation. This book is built upon separation of the folds initially. I also was surprised he didn t use SkLearn Transformers...it s good overall and I really need to go this over again to really be convinced (or not). If the author reads this, I d like to hear your comments",R. Martin,2020-12-10,5.0,Verified,0
Do not waster your money,"When you open the first page you will find the following advise: ""This is NOT a traditional book"". In fact, he is totally right. Calling this a book is maybe too much. This is basically just a collection of notes with a bunch of code in no order ( which btw, he recommends to implement it, although does not provide some of the datasets and on top of that you have to run Unbutu not to face problems with some of the bash scripts"". ). It is extremely messy. The author jumps from concept to concept in a very unstructured way. The book is not curated at all. VERY DISSAPOINTED. It will give it Zero stars if I could.",Miguel Angel Miranda Morante,2020-12-04,1.0,Verified,One
A very thorough and practical tutorial and reference book,"This is very much a book written by a practitioner. If you want to know about the theory, this is not a book for you. If however you want to do this stuff for a living, this book is invaluable. I find myself coming back to it time and again for guidance on the best way to do things. Priced very reasonably - I very strongly recommend this book.",Andrew Jennings,2020-12-02,5.0,Verified,0
Buyers be aware,"This book has major problems. Really. - To start with, the datasets are not available. Good luck to find them, be happy if the author's references to the datasets (when there is a reference) have not changed in between. The repo of the book is just about 4 files, simply with the list of the packages used. Nothing else. No code (he is afraid it would be a copy of his book?). No datasets. - What is the intended audience? The author doesn't explain almost anything. He jumps from one subject to another. It appears that the intended audience is intermediate or advanced readers. But, if so, why starting the book explaining the difference between supervised and unsupervised learning? Why other introductory concepts are explained at all? - Poor explanations of the few concepts that the author attempts to explain. His explanation of overfitting and cross-validation is among the worse I have ever seen. - The code has some basic styling errors. Is this what you would expect in a published book from someone that describes himself as ""grand master on Kaggle""? For example, one single assignment of a variable to a list of column names in the cross-validation section is inserted in a loop that runs from 1 to 25 (see attached photo). That is, this single assignment is run 25 times, the same assignment, when it could have been placed before the loop. The author even writes so in the comments. Is this good code styling? To leave dirty code around and publish it so? There are many better, much better books in the market, even for a similar price.",Mark Ross,2020-11-15,1.0,Verified,13
Great books.,Amazing books. Easy to read and have examples throughout.,Rishabh Sharma,2020-11-14,5.0,Verified,0
black and white printing makes it hard to reas,"great book and concise content, but what a shame that the printing is in black and white which is makes the book much harder to read...",Michael Li,2020-10-28,3.0,Verified,0
An excellent book for experienced users,"I would describe myself as an experienced machine learning practitioner and found this book the most useful I have read in years. I really liked the opportunity to understand why and how the author had approached the particular issues that occur in almost all real world machine learning / data science projects and his detailed approach to items such as crossfold validation. The book consists of text explaining why the author has approached a particular issue in the way that he did together with copious, easy to read and well annotated code. The two combined provide a fascinating insight into how one individual tackles these kinds of projects. There some gaps, such as how do you measure model drift in a production environment, but despite many years experience, I learnt something in almost every topic that the author covered. I'd say the reader needs 2 or more years machine learning / data science experience, so that the reader is familiar with the issues that the author is tackling and the reason that they are chosen. They should also be happy reading python code so they can get the maximum benefit of the author's approach. This is not an academic textbook and contains no theory, but for someone trying to improve the way they tackle real world problems I'd highly recommend it.",G. S. M. Potter,2020-10-20,5.0,Verified,2
I was positively surprised by the atypical content/approach Abhishek implemented in his book,"Just finished reading the book ""Approaching (Almost) Any Machine Learning Project"" recently published by Abhishek Thakur . I must admit that i was positively surprised by the atypical content/approach Abhishek implemented in his book. Some of the things that i found really nice: - he motivates and stresses best practices for building and evaluating machine learning models for the most common problems, - he shares different tips & tricks you'll generally spend a lot of time learning while implementing concrete projects / kaggle challenges, - he advocates for a greedy approach towards solving different machine learning problems (always set a clear objective/target and start simple); Abhishek demonstrated that all along the book while discussing different problems. You'll not find in depth explanation of ML algorithms in this book but instead, very good advices on how to properly leverage and apply them in order to solve concrete problems. Thanks a lot Abhishek for the amazing work!",Amir KRIFA,2020-10-11,5.0,Verified,3
It s ok,It s ok,Oliver AWANGNONGBE,2020-10-01,5.0,Verified,0
Great for machine learning college students!,"I believe that there's a fairly large demographic of people in the community who have probably taken some machine learning course in college. Learning how to program and implement algorithms from scratch is important since this gives us an idea of the inner workings of the theory and mechanics behind the libraries that are implemented in practice. However, I am guessing that it is likely that most of the datasets previously used are quite plain and probably not that difficult or interesting (e.g., the iris dataset). In other words, our experience in academia leaves it quite unprepared regarding how to take the next step. I think that this book does a great job of guiding those who are likely trapped in the academic experience of machine learning, where our work is centered around class assignments or projects that are too cookie-cutter and poorly organized. This book provides some guidance by answering many left-over questions regarding how we can understand a system/methodology that will allow us students to go from homework assignments and towards approaching real-world problems in a professional manner.",Jared Yu,2020-09-22,5.0,Verified,2
Great book,"This one is overall a great book. It is a very practical and code oriented book. The content is advanced, and assumes that you know the basics of coding and machine learning. It comes with lots of examples, tricks, and software patters about how to approach any (or many) machine learning problems. The only thing it misses is a full example combining all the stuff that is introduced in the book.",pol blasco,2020-09-22,5.0,Verified,0
"Ok, ma..","Il libro racchiude moltissime nozioni. Lo consiglio vivamente. Unica pecca, forse perch non necessaria all'interno del libro, la presenza di pochi problemi affrontati circa la segmentazione nel machine learning (es. a specific U-Net for a medical issue). Per il resto soddisfatto dell'acquisto.",Giovanni,2020-09-18,5.0,Verified,0
Really good quality for the price of the book,"During this past month I have been reading the book ""approaching (almost) any machine learning problem"" by Abhishek Thakur. It is totally reccomendable. I do really believe : - It provides with a general frame when dealing with a ML problem in simple words. - It shows you different approaches that would ease your modelling accross the different stages. - The explanations are provided with really understandable code examples as well as useful libraries (that I did not know of before). - It is REALLY GOOD QUALITY for the PRICE (at least in Spain (14 euros if I dont recall wrong) The most interesting chapter for me is ""approaching categorical variables"".",Amazon Customer,2020-09-15,5.0,Verified,0
A rare coding book that will be useful for years in the future,"I don t normally buy books related to coding for the main reason that they usually become outdated quickly and end up taking up space on my bookshelf, never to be opened again. This book is different though. This is not about learning a specific package or for doing a specific task. This book aims to cover the fundamentals of machine learning regardless of what the task is. The (Python) code examples are easy to follow and use packages with mature APIs (e.g. scikit-learn, pandas, PyTorch) so the code examples will still work for years into the future. It also serves as a great reference for things which are often succinctly explained in a couple of paragraphs (e.g. the explanation of the AUC metric was probably one of the neatest I ve seen). The other great thing about the writing style is that the theory and equations are intentionally kept to the bare minimum (you can find all of this elsewhere) so that you can get to building things as quickly as possible. If you are new to ML you should buy this book if you: > Have completed some MOOCs and are getting started with your own projects or Kaggle > Are wondering how that ML code that you copied on Stack Overflow/GitHub actually works > Prefer to learn quickly by doing rather than sitting through weeks of classes If you have ML experience you should buy this book if you: > Started your ML journey through deep learning (e.g. fast.ai) and you want to firm up your ML fundamentals > Are coaching/mentoring less experienced colleagues and you need some succinct definitions/code examples of concepts like cross-validation or a certain metric > Want to improve your coding style , e.g. write clearer more maintainable code I d definitely recommend this book and it s something I ll probably find myself flicking back through for a while. I also really like the cover which has an awesome design and comes in a matt finish which feels nice in the hands while reading. Originally I thought it would pick up fingerprints very quickly but after owning it for several weeks it still looks great.",Anjum Sayed,2020-09-14,5.0,Verified,2
It require some Data Science experience but contains a lot of practical knowledge,"Great book. I appreciate practical approach, working parts of code and that autor show how to deal with stuff that are omitted in most of the DS books ex. stratified cross validation for regression problems. It's not ""from zero to hero"" kind of book. A mild experienced DS could find here many thinks that has been hidden in plain sight before.",Daniel Sz.,2020-09-01,5.0,Verified,0
"Good book, but wish print was better","The book content and explanations are pretty good, but the print is not the best quality. It's still not bad enough to not recommend it, I just think it can be improved.",Amazon Customer,2020-08-28,4.0,Verified,0
Must read for Data Science Practitioners,"I have been following Abhishek for a while now, this book shows nothing but his expertise in applying ML models and building Data Science projects from scratch. It's a very detail-oriented book, he spent a lot of time creating code snippets to try the concepts out the way he explained them. He applied his Kaggle mastery to explain some of the important concepts like Evaluation metrics, approaching categorical variables, feature selection etc. Concepts were explained in layman terms not used too much jargon to confuse readers. To take full advantage of this book its good to have some experience in Data Science and the ML world.",Jay,2020-08-24,5.0,Verified,0
"Very practical, simple and comprehensive",Really liked the chapters on organising and productionising models. Comprehensive but succinct refresher on machine learning models. Excellent practical suggestions on reviewing and interpreting models. Most unique is the explanation of common errors and their solutions.,Saurabh Gupta,2020-08-23,5.0,Verified,0
